index,age_upon_outcome,animal_id,animal_type,name,breed,color1,color2,date_of_birth,outcome_subtype,outcome_type,outcome_month,outcome_year
17314,2 months,A707352,Cat,*Graybles,domestic shorthair,brown ,white,2015-05-27 00:00:00,Partner,Transfer,8,2015
17315,11 months,A742554,Cat,*Mia,domestic shorthair,blue,white,2016-02-23 00:00:00,Partner,Transfer,2,2017
17316,5 years,A624128,Cat,Kitty Kitty,domestic shorthair,orange,,2009-10-10 00:00:00,Partner,Transfer,5,2015
17317,2 weeks,A738246,Cat,,domestic shorthair,brown,,2016-10-27 00:00:00,Partner,Transfer,11,2016
17318,2 months,A730211,Cat,,domestic shorthair,brown,,2016-04-30 00:00:00,,Adoption,7,2016
17319,8 months,A734915,Cat,*Ulysses,domestic shorthair,cream ,white,2016-01-15 00:00:00,Partner,Transfer,9,2016
17320,1 weeks,A747776,Cat,,domestic shorthair,black,,2017-04-17 00:00:00,Partner,Transfer,4,2017
17321,3 months,A726610,Cat,*Imelda,domestic shorthair,Breed Specific,,2016-04-05 00:00:00,,Adoption,7,2016
17322,6 days,A706036,Cat,,domestic shorthair,white,brown,2015-06-18 00:00:00,Partner,Transfer,6,2015
17323,5 weeks,A734373,Cat,,domestic shorthair,black,white,2016-08-05 00:00:00,Partner,Transfer,9,2016
17324,10 years,A741031,Cat,Arnie Grape,domestic shorthair,black,black,2006-12-27 00:00:00,,Adoption,1,2017
17325,1 month,A730391,Cat,*Mickey,domestic shorthair,orange,,2016-05-27 00:00:00,Partner,Transfer,7,2016
17326,2 months,A710882,Cat,*Karen,domestic shorthair,orange,,2015-07-29 00:00:00,Foster,Adoption,10,2015
17327,2 months,A728626,Cat,Snowball,domestic longhair,white,black,2016-05-08 00:00:00,,Adoption,7,2016
17328,2 months,A762297,Cat,,domestic shorthair,brown,,2017-09-14 00:00:00,,Adoption,11,2017
17329,1 day,A725684,Cat,,domestic shorthair,black,,2016-05-01 00:00:00,Partner,Transfer,5,2016
17330,2 months,A751465,Cat,,domestic shorthair,black,,2017-04-16 00:00:00,,Adoption,6,2017
17331,5 years,A750448,Cat,,domestic shorthair,Breed Specific,,2012-05-27 00:00:00,Snr,Transfer,5,2017
17332,2 months,A748206,Cat,*Bacall,domestic shorthair,Breed Specific,,2017-04-03 00:00:00,Foster,Adoption,6,2017
17333,1 month,A734908,Cat,,domestic shorthair,orange ,white,2016-07-31 00:00:00,Partner,Transfer,9,2016
17334,3 days,A736697,Cat,,domestic shorthair,orange,white,2016-10-12 00:00:00,Partner,Transfer,10,2016
17335,3 months,A729775,Cat,*Fradey,domestic shorthair,black,white,2016-05-15 00:00:00,,Adoption,9,2016
17336,1 month,A737501,Cat,*Tony,domestic shorthair,blue,white,2016-09-23 00:00:00,Partner,Transfer,11,2016
17337,1 week,A719539,Cat,*Melindra,domestic longhair,blue,,2016-01-22 00:00:00,Partner,Transfer,1,2016
17338,3 months,A749134,Cat,Anastasia,domestic shorthair,Breed Specific,,2017-04-05 00:00:00,,Adoption,7,2017
17339,2 months,A713886,Cat,*Arthur,domestic shorthair,orange,,2015-07-30 00:00:00,,Adoption,10,2015
17340,5 years,A757146,Cat,,domestic shorthair,white,black,2012-08-31 00:00:00,Partner,Transfer,8,2017
17341,2 years,A700891,Cat,,domestic shorthair,blue,white,2013-04-21 00:00:00,Partner,Transfer,4,2015
17342,2 years,A727479,Cat,Tiger Lily,domestic shorthair,brown,,2013-12-28 00:00:00,,Adoption,7,2016
17343,3 months,A709397,Cat,Kitty Cat,domestic shorthair,orange,,2015-05-08 00:00:00,Partner,Transfer,8,2015
17344,1 month,A753545,Cat,*Miranda,domestic mediumhair,black,,2017-06-07 00:00:00,Partner,Transfer,7,2017
17345,1 year,A743186,Cat,,domestic longhair,blue,,2016-02-05 00:00:00,SCRP,Transfer,2,2017
17346,2 years,A727501,Cat,*Libby,domestic shorthair,blue,,2014-05-22 00:00:00,Foster,Adoption,6,2016
17347,3 months,A707901,Cat,*Binx,domestic shorthair,black,,2015-07-13 00:00:00,,Adoption,10,2015
17348,2 months,A737462,Cat,Maya,domestic shorthair,orange ,white,2016-08-28 00:00:00,,Adoption,11,2016
17349,5 days,A748774,Cat,,siamese,lynx,,2017-05-03 00:00:00,Partner,Transfer,5,2017
17350,4 years,A749763,Cat,Carita,siamese,chocolate,,2013-05-19 00:00:00,Suffering,Euthanasia,5,2017
17351,2 months,A751517,Cat,*Kale,domestic shorthair,black,white,2017-05-06 00:00:00,Foster,Adoption,7,2017
17352,3 months,A722281,Cat,,domestic shorthair,Breed Specific,,2016-03-07 00:00:00,Foster,Adoption,6,2016
17353,2 years,A715901,Cat,,domestic shorthair,black ,white,2013-11-12 00:00:00,SCRP,Transfer,12,2015
17354,1 year,A726560,Cat,*Dexter,domestic shorthair,brown,,2015-05-12 00:00:00,Foster,Adoption,12,2016
17355,2 months,A716693,Cat,Zuri,domestic longhair,black,white,2015-09-01 00:00:00,,Adoption,11,2015
17356,1 weeks,A744285,Cat,,domestic shorthair,Breed Specific,,2017-02-17 00:00:00,Partner,Transfer,2,2017
17357,2 months,A759128,Cat,,domestic shorthair,gray,,2017-07-27 00:00:00,Partner,Transfer,9,2017
17358,2 years,A727601,Cat,Bruno,domestic mediumhair,orange,,2014-05-23 00:00:00,Partner,Transfer,6,2016
17359,1 year,A723702,Cat,Archer,domestic shorthair,blue,,2014-10-05 00:00:00,,Adoption,4,2016
17360,2 months,A736982,Cat,Smokey,domestic shorthair,blue,,2016-09-05 00:00:00,Foster,Adoption,11,2016
17361,1 year,A743719,Cat,Mercury,domestic shorthair,black,,2016-02-15 00:00:00,,Adoption,7,2017
17362,2 months,A713553,Cat,*Alex,siamese,seal,,2015-09-08 00:00:00,Foster,Adoption,11,2015
17363,8 months,A724632,Cat,*Ridley,domestic shorthair,black,,2015-08-19 00:00:00,,Adoption,5,2016
17364,1 year,A740848,Cat,,domestic shorthair,white,blue,2015-12-24 00:00:00,SCRP,Transfer,12,2016
17365,3 months,A705862,Cat,,domestic shorthair,brown ,white,2015-03-22 00:00:00,SCRP,Transfer,6,2015
17366,3 months,A710327,Cat,Scooter,domestic shorthair,orange ,white,2015-07-14 00:00:00,,Adoption,10,2015
17367,2 months,A707344,Cat,Willow,domestic longhair,brown ,white,2015-05-11 00:00:00,,Adoption,7,2015
17368,2 months,A731143,Cat,*Eleazar,domestic shorthair,blue,white,2016-05-10 00:00:00,,Adoption,7,2016
17369,2 weeks,A724936,Cat,,domestic mediumhair,brown,,2016-04-03 00:00:00,Partner,Transfer,4,2016
17370,2 months,A704499,Cat,*Freddy,domestic shorthair,brown,,2015-04-20 00:00:00,Partner,Transfer,6,2015
17371,6 years,A616229,Cat,Rebecca,domestic shorthair,black,white,2008-12-19 00:00:00,,Adoption,11,2015
17372,1 week,A758473,Cat,,domestic shorthair,brown ,white,2017-09-10 00:00:00,Partner,Transfer,9,2017
17373,3 weeks,A704320,Cat,,domestic shorthair,orange ,white,2015-05-12 00:00:00,Partner,Transfer,6,2015
17374,1 year,A709749,Cat,*Janeane,domestic shorthair,Breed Specific,,2014-08-12 00:00:00,Partner,Transfer,9,2015
17375,4 years,A714739,Cat,Tahoe,siamese,lynx ,white,2011-05-05 00:00:00,,Return to Owner,11,2015
17376,4 years,A730563,Cat,,domestic shorthair,black,white,2012-07-06 00:00:00,SCRP,Transfer,7,2016
17377,5 years,A741354,Cat,,domestic mediumhair,Breed Specific,,2011-12-31 00:00:00,Partner,Transfer,1,2017
17378,5 months,A751444,Cat,,domestic shorthair,blue,white,2017-01-08 00:00:00,Snr,Transfer,6,2017
17379,3 months,A715218,Cat,*Tyra,domestic shorthair,Breed Specific,,2015-08-02 00:00:00,Partner,Transfer,11,2015
17380,1 year,A745169,Cat,Kid,domestic shorthair,orange,,2016-03-13 00:00:00,Partner,Transfer,3,2017
17381,1 month,A756332,Cat,*Mademoisele,domestic mediumhair,Breed Specific,,2017-07-02 00:00:00,Partner,Transfer,8,2017
17382,10 years,A699931,Cat,*Missy,domestic shorthair,blue,,2005-04-04 00:00:00,Foster,Adoption,7,2015
17383,1 month,A706420,Cat,Kobi,domestic shorthair,brown,,2015-05-21 00:00:00,,Adoption,7,2015
17384,1 year,A724892,Cat,,domestic shorthair,blue,,2015-04-22 00:00:00,Partner,Transfer,4,2016
17385,2 months,A704962,Cat,*Chris,domestic longhair,black,white,2015-05-10 00:00:00,,Adoption,7,2015
17386,2 months,A758217,Cat,,domestic shorthair,Breed Specific,,2017-06-26 00:00:00,,Adoption,9,2017
17387,1 weeks,A754478,Cat,,domestic shorthair,orange,,2017-07-13 00:00:00,Partner,Transfer,7,2017
17388,1 year,A704795,Cat,,domestic shorthair,brown ,white,2014-06-09 00:00:00,SCRP,Transfer,6,2015
17389,2 months,A749241,Cat,*Monty,domestic shorthair,cream ,white,2017-04-12 00:00:00,,Adoption,6,2017
17390,1 year,A741580,Cat,Tigger,domestic shorthair,brown,,2016-01-04 00:00:00,,Adoption,1,2017
17391,4 weeks,A733247,Cat,,domestic shorthair,Breed Specific,,2016-07-19 00:00:00,Partner,Transfer,8,2016
17392,2 weeks,A740608,Cat,,domestic shorthair,brown ,white,2016-12-05 00:00:00,Partner,Transfer,12,2016
17393,2 months,A712229,Cat,*Ginger,domestic shorthair,orange,,2015-08-28 00:00:00,Foster,Adoption,11,2015
17394,1 month,A713994,Cat,Digit,domestic shorthair,black,,2015-08-25 00:00:00,,Adoption,10,2015
17395,3 months,A737679,Cat,*Burlington,domestic shorthair,brown,,2016-09-17 00:00:00,,Adoption,12,2016
17396,1 year,A709441,Cat,Norah Jones,domestic shorthair,brown,,2014-08-09 00:00:00,,Adoption,9,2015
17397,4 weeks,A730203,Cat,,domestic shorthair,cream ,white,2016-06-08 00:00:00,In Foster,Died,7,2016
17398,3 months,A756265,Cat,,domestic shorthair,brown,,2017-05-01 00:00:00,Partner,Transfer,8,2017
17399,1 week,A708408,Cat,,domestic shorthair,blue,,2015-07-20 00:00:00,Partner,Transfer,7,2015
17400,2 weeks,A724784,Cat,,domestic shorthair,white,black,2016-04-06 00:00:00,Partner,Transfer,4,2016
17401,2 years,A707349,Cat,*Esmerelda,siamese,seal,,2013-07-11 00:00:00,Foster,Adoption,5,2016
17402,3 weeks,A707622,Cat,,domestic shorthair,blue,,2015-06-21 00:00:00,Partner,Transfer,7,2015
17403,2 years,A704916,Cat,*Rosie,domestic shorthair,brown ,white,2013-06-10 00:00:00,SCRP,Transfer,6,2015
17404,1 year,A758370,Cat,,domestic shorthair,black,white,2016-09-15 00:00:00,Snr,Transfer,9,2017
17405,2 years,A721448,Cat,,domestic shorthair,brown,,2014-02-27 00:00:00,,Adoption,3,2016
17406,6 years,A729273,Cat,Frostie,turkish angora,white,,2010-06-15 00:00:00,,Adoption,6,2016
17407,2 months,A757002,Cat,*Sheri,domestic shorthair,white,,2017-07-28 00:00:00,Foster,Adoption,10,2017
17408,1 year,A733814,Cat,Duke,domestic shorthair,blue,white,2015-08-27 00:00:00,,Return to Owner,8,2016
17409,4 months,A737461,Cat,,domestic shorthair,orange,,2016-06-28 00:00:00,SCRP,Transfer,10,2016
17410,2 months,A715350,Cat,*Cyrus,domestic mediumhair,black,,2015-09-06 00:00:00,,Adoption,11,2015
17411,4 months,A732312,Cat,*Dalhausser,domestic shorthair,blue,,2016-06-20 00:00:00,,Adoption,11,2016
17412,3 months,A748688,Cat,Muffins,domestic shorthair,brown ,white,2017-02-23 00:00:00,,Adoption,5,2017
17413,4 weeks,A706066,Cat,,domestic shorthair,silver,,2015-05-30 00:00:00,Partner,Transfer,6,2015
17414,2 months,A746272,Cat,Artemis,domestic shorthair,white,cream,2017-01-15 00:00:00,,Adoption,4,2017
17415,3 weeks,A704319,Cat,,domestic shorthair,orange ,white,2015-05-12 00:00:00,Partner,Transfer,6,2015
17416,2 weeks,A761327,Cat,,domestic shorthair,Breed Specific,,2017-10-18 00:00:00,Partner,Transfer,11,2017
17417,13 years,A760456,Cat,*Stewart,domestic shorthair,brown ,white,2004-10-23 00:00:00,Partner,Transfer,10,2017
17418,2 months,A731785,Cat,,domestic shorthair,blue,white,2016-05-13 00:00:00,Suffering,Euthanasia,7,2016
17419,2 months,A737398,Cat,*Chip,domestic shorthair,white,black,2016-08-27 00:00:00,,Adoption,11,2016
17420,2 years,A704946,Cat,,domestic shorthair,orange,,2013-06-11 00:00:00,SCRP,Transfer,6,2015
17421,2 months,A729274,Cat,,domestic shorthair,Breed Specific,,2016-04-27 00:00:00,,Adoption,7,2016
17422,4 weeks,A751411,Cat,,domestic shorthair,black,,2017-05-08 00:00:00,Partner,Transfer,6,2017
17423,10 years,A420143,Cat,Mitsy,domestic shorthair,black,,2005-06-21 00:00:00,Partner,Transfer,4,2016
17424,1 weeks,A746163,Cat,,domestic mediumhair,black,,2017-03-20 00:00:00,Partner,Transfer,3,2017
17425,1 month,A711452,Cat,,domestic mediumhair,blue,white,2015-07-31 00:00:00,,Adoption,9,2015
17426,3 weeks,A749060,Cat,,domestic shorthair,orange,,2017-04-18 00:00:00,Partner,Transfer,5,2017
17427,1 month,A758155,Cat,*Tulip,american shorthair,Breed Specific,white,2017-08-16 00:00:00,In Kennel,Died,9,2017
17428,2 months,A760646,Cat,,american shorthair,black,white,2017-08-11 00:00:00,,Adoption,10,2017
17429,4 months,A751980,Cat,,domestic shorthair,Breed Specific,,2017-02-16 00:00:00,Snr,Transfer,6,2017
17430,2 years,A730904,Cat,Olivia,domestic shorthair,brown,,2014-07-12 00:00:00,Foster,Adoption,10,2016
17431,8 years,A721744,Cat,Muchacha,domestic mediumhair,Breed Specific,,2008-03-03 00:00:00,,Adoption,3,2016
17432,4 months,A721833,Cat,*Steinbeck,domestic shorthair,brown,,2015-11-05 00:00:00,Partner,Transfer,3,2016
17433,1 month,A729373,Cat,*Silk,domestic shorthair,brown,,2016-05-02 00:00:00,,Adoption,7,2016
17434,2 months,A759713,Cat,,domestic shorthair,Breed Specific,,2017-08-06 00:00:00,,Adoption,10,2017
17435,1 year,A738949,Cat,,domestic shorthair,Breed Specific,,2015-11-24 00:00:00,Partner,Transfer,11,2016
17436,7 years,A716142,Cat,Max,snowshoe,chocolate,white,2008-11-15 00:00:00,,Adoption,11,2015
17437,2 months,A726094,Cat,,domestic mediumhair,blue,white,2016-03-06 00:00:00,,Adoption,5,2016
17438,2 months,A727988,Cat,,domestic shorthair,orange ,white,2016-05-05 00:00:00,Foster,Adoption,7,2016
17439,1 month,A702923,Cat,,domestic shorthair,blue,white,2015-04-04 00:00:00,Partner,Transfer,5,2015
17440,3 months,A753380,Cat,,domestic shorthair,black,white,2017-04-05 00:00:00,Snr,Transfer,7,2017
17441,3 weeks,A703865,Cat,,domestic shorthair,black,,2015-05-08 00:00:00,Partner,Transfer,5,2015
17442,3 weeks,A710570,Cat,,domestic shorthair,white,brown,2015-08-02 00:00:00,Partner,Transfer,8,2015
17443,3 months,A755666,Cat,*Ganache,domestic shorthair,Breed Specific,white,2017-07-07 00:00:00,Foster,Adoption,10,2017
17444,3 months,A748096,Cat,*Tillie,domestic shorthair,blue ,white,2017-03-27 00:00:00,,Adoption,7,2017
17445,2 months,A750749,Cat,,siamese,Breed Specific,,2017-03-31 00:00:00,,Adoption,6,2017
17446,7 years,A762223,Cat,Charlie,domestic shorthair,orange,,2010-11-16 00:00:00,,Return to Owner,11,2017
17447,3 weeks,A709546,Cat,,domestic shorthair,Breed Specific,,2015-07-19 00:00:00,Partner,Transfer,8,2015
17448,4 years,A707233,Cat,Buzz,domestic shorthair,orange,,2010-10-09 00:00:00,,Return to Owner,7,2015
17449,1 year,A733538,Cat,*Davis,domestic shorthair,cream ,white,2015-08-23 00:00:00,Partner,Transfer,10,2016
17450,3 years,A758977,Cat,*Pirate,domestic shorthair,orange ,white,2014-09-24 00:00:00,,Adoption,10,2017
17451,2 months,A736007,Cat,,domestic mediumhair,gray ,white,2016-08-02 00:00:00,,Adoption,10,2016
17452,2 months,A714572,Cat,*Tom,domestic shorthair,black,,2015-10-03 00:00:00,,Adoption,12,2015
17453,2 years,A752597,Cat,*Miori,domestic longhair,black,,2015-06-24 00:00:00,Partner,Transfer,7,2017
17454,4 months,A748725,Cat,*Iris,domestic shorthair,Breed Specific,,2017-03-25 00:00:00,Foster,Adoption,8,2017
17455,7 months,A716401,Cat,Cookie Dough,domestic shorthair,brown,,2015-04-19 00:00:00,,Adoption,11,2015
17456,4 months,A700962,Cat,Spot,domestic shorthair,brown,,2015-04-17 00:00:00,Foster,Adoption,8,2015
17457,2 years,A763354,Cat,Niko,domestic shorthair,orange,,2015-12-08 00:00:00,,Return to Owner,12,2017
17458,2 months,A736738,Cat,*Blossom,domestic shorthair,brown ,white,2016-08-25 00:00:00,Foster,Adoption,11,2016
17459,9 years,A708078,Cat,,domestic shorthair,black,white,2006-07-22 00:00:00,Suffering,Euthanasia,7,2015
17460,3 years,A700388,Cat,,domestic shorthair,orange,,2012-04-13 00:00:00,SCRP,Transfer,4,2015
17461,4 months,A710006,Cat,*Chunk,domestic shorthair,black,,2015-07-07 00:00:00,Partner,Transfer,11,2015
17462,3 months,A749073,Cat,,domestic shorthair,orange,,2017-02-10 00:00:00,,Adoption,5,2017
17463,5 months,A709193,Cat,,domestic shorthair,white,,2015-03-05 00:00:00,SCRP,Transfer,8,2015
17464,1 year,A735323,Cat,*Reno,domestic shorthair,brown,,2015-09-22 00:00:00,Partner,Transfer,9,2016
17465,1 year,A724817,Cat,,domestic shorthair,Breed Specific,,2015-04-22 00:00:00,Foster,Adoption,7,2016
17466,2 years,A755240,Cat,*Greta,domestic longhair,Breed Specific,,2015-01-31 00:00:00,,Adoption,8,2017
17467,3 months,A750844,Cat,*Seymour,domestic shorthair,black,,2017-04-16 00:00:00,Foster,Adoption,7,2017
17468,2 months,A749075,Cat,*Franky,domestic shorthair,white,brown,2017-03-26 00:00:00,Foster,Adoption,6,2017
17469,10 months,A739654,Cat,,domestic shorthair,orange,,2016-02-05 00:00:00,SCRP,Transfer,12,2016
17470,3 years,A728013,Cat,Werdita,domestic shorthair,brown,,2013-05-29 00:00:00,Partner,Transfer,6,2016
17471,3 days,A724152,Cat,,domestic mediumhair,brown,,2016-04-09 00:00:00,Partner,Transfer,4,2016
17472,15 years,A718894,Cat,*Mannie,domestic shorthair,black,white,2001-01-09 00:00:00,Partner,Transfer,1,2016
17473,2 months,A747200,Cat,*Toffeekins,domestic shorthair,cream,white,2017-04-01 00:00:00,,Adoption,6,2017
17474,2 months,A754830,Cat,*Waylon,domestic shorthair,black,white,2017-05-31 00:00:00,Partner,Transfer,8,2017
17475,3 weeks,A709340,Cat,,domestic shorthair,white,black,2015-07-16 00:00:00,Partner,Transfer,8,2015
17476,2 months,A713405,Cat,,siamese,seal,,2015-09-06 00:00:00,,Adoption,11,2015
17477,2 months,A711322,Cat,Dixie,domestic shorthair,black,,2015-09-01 00:00:00,,Adoption,11,2015
17478,3 weeks,A735674,Cat,,domestic shorthair,brown,,2016-09-06 00:00:00,Partner,Transfer,9,2016
17479,3 years,A716622,Cat,Loki,domestic shorthair,blue,,2012-11-22 00:00:00,,Return to Owner,11,2015
17480,2 years,A749440,Cat,Tiger,domestic shorthair,brown,,2015-05-15 00:00:00,,Adoption,6,2017
17481,1 month,A727079,Cat,*Norman,domestic shorthair,brown,,2016-04-18 00:00:00,In Kennel,Died,5,2016
17482,1 day,A731709,Cat,,domestic shorthair,brown,,2016-07-25 00:00:00,Partner,Transfer,7,2016
17483,1 month,A726404,Cat,*Strudel,domestic shorthair,brown ,white,2016-04-10 00:00:00,Foster,Adoption,6,2016
17484,3 months,A751813,Cat,,domestic shorthair,brown ,white,2017-05-06 00:00:00,Foster,Adoption,8,2017
17485,2 years,A759147,Cat,Muse,domestic shorthair,white,brown,2015-09-27 00:00:00,,Return to Owner,9,2017
17486,2 weeks,A747966,Cat,,domestic shorthair,black,white,2017-04-12 00:00:00,Partner,Transfer,4,2017
17487,1 weeks,A740858,Cat,,domestic shorthair,Breed Specific,,2016-12-17 00:00:00,In Kennel,Died,12,2016
17488,2 years,A718206,Cat,,domestic shorthair,orange,,2013-12-24 00:00:00,,Adoption,1,2016
17489,8 years,A719342,Cat,Dee Dee,maine coon,brown,,2008-04-17 00:00:00,Foster,Adoption,1,2017
17490,2 months,A729268,Cat,*Jolly,domestic shorthair,white,brown,2016-04-15 00:00:00,Partner,Transfer,6,2016
17491,4 months,A757250,Cat,*Scout,domestic mediumhair,black,,2017-08-07 00:00:00,,Adoption,12,2017
17492,4 months,A758407,Cat,,domestic shorthair,orange,,2017-05-16 00:00:00,Snr,Transfer,9,2017
17493,3 weeks,A707447,Cat,,domestic longhair,brown ,white,2015-06-21 00:00:00,Partner,Transfer,7,2015
17494,1 year,A742881,Cat,,domestic shorthair,white,orange,2016-01-30 00:00:00,SCRP,Transfer,1,2017
17495,2 weeks,A734744,Cat,,domestic shorthair,cream,,2016-08-28 00:00:00,Partner,Transfer,9,2016
17496,3 months,A714278,Cat,Isabella,domestic shorthair,black,,2015-09-13 00:00:00,Foster,Adoption,12,2015
17497,2 months,A712570,Cat,*Tuna,domestic mediumhair,black,,2015-09-03 00:00:00,Foster,Adoption,11,2015
17498,9 years,A741187,Cat,Tara,domestic shorthair,brown,,2007-12-29 00:00:00,,Adoption,2,2017
17499,2 weeks,A726508,Cat,,domestic mediumhair,brown,,2016-04-26 00:00:00,Partner,Transfer,5,2016
17500,3 months,A757763,Cat,Rocket,domestic shorthair,Breed Specific,,2017-06-18 00:00:00,,Adoption,10,2017
17501,2 months,A703362,Cat,*Hank,domestic shorthair,brown,,2015-05-05 00:00:00,Foster,Adoption,7,2015
17502,5 months,A751443,Cat,,domestic shorthair,blue,,2017-01-08 00:00:00,Partner,Transfer,6,2017
17503,2 weeks,A711407,Cat,,domestic shorthair,black,white,2015-08-22 00:00:00,Partner,Transfer,9,2015
17504,1 month,A714076,Cat,*Wyatt,domestic shorthair,orange,,2015-09-25 00:00:00,Partner,Transfer,11,2015
17505,1 year,A734630,Cat,Binx,domestic shorthair,black,,2015-09-10 00:00:00,,Adoption,9,2016
17506,3 years,A697925,Cat,*Maddie,domestic shorthair,Breed Specific,,2012-03-04 00:00:00,Foster,Adoption,5,2015
17507,3 months,A709471,Cat,Brownie,domestic shorthair,brown ,white,2015-05-09 00:00:00,,Adoption,8,2015
17508,2 months,A753037,Cat,*Zooey,siamese,lynx,,2017-05-30 00:00:00,,Adoption,8,2017
17509,3 months,A715108,Cat,*Emile,domestic shorthair,brown,,2015-09-18 00:00:00,Foster,Adoption,12,2015
17510,3 weeks,A723667,Cat,,domestic shorthair,black,,2016-03-13 00:00:00,Partner,Transfer,4,2016
17511,2 weeks,A744817,Cat,,domestic shorthair,blue,,2017-03-05 00:00:00,In Foster,Died,3,2017
17512,2 months,A756141,Cat,*Keats,domestic longhair,white,black,2017-07-11 00:00:00,,Adoption,10,2017
17513,2 months,A744426,Cat,*Hermione,domestic shorthair,brown,,2017-01-28 00:00:00,Foster,Adoption,4,2017
17514,3 months,A712625,Cat,*Emily Rae,domestic shorthair,orange,,2015-06-25 00:00:00,,Adoption,10,2015
17515,2 years,A709307,Cat,*Lizzy,domestic shorthair,brown ,white,2012-11-07 00:00:00,Partner,Transfer,9,2015
17516,6 months,A713280,Cat,Bagheera,domestic shorthair,black,,2015-04-20 00:00:00,,Adoption,10,2015
17517,2 months,A730085,Cat,Tessa,siamese,blue,,2016-04-28 00:00:00,Partner,Transfer,6,2016
17518,1 year,A748199,Cat,,domestic shorthair,brown,,2016-04-30 00:00:00,Snr,Transfer,5,2017
17519,3 weeks,A701716,Cat,,domestic shorthair,blue,,2015-04-11 00:00:00,Partner,Transfer,5,2015
17520,0 years,A701723,Cat,,domestic shorthair,Breed Specific,,2015-05-03 00:00:00,Partner,Transfer,5,2015
17521,1 weeks,A723419,Cat,,domestic shorthair,brown,,2016-03-24 00:00:00,Partner,Transfer,4,2016
17522,2 months,A751438,Cat,*Fudge,domestic shorthair,brown,,2017-05-01 00:00:00,Foster,Adoption,7,2017
17523,1 year,A732817,Cat,*Ekaterina,domestic shorthair,black,white,2015-08-13 00:00:00,Partner,Transfer,9,2016
17524,2 months,A727810,Cat,*Gretchen,domestic shorthair,blue ,white,2016-04-08 00:00:00,,Adoption,6,2016
17525,3 years,A746341,Cat,*Shadi,american curl shorthair,white,blue,2014-03-31 00:00:00,,Adoption,7,2017
17526,1 year,A751510,Cat,Sammy,domestic shorthair,blue,white,2016-06-09 00:00:00,,Return to Owner,6,2017
17527,8 years,A698765,Cat,*Bunny,manx/domestic longhair,black,,2007-03-23 00:00:00,,Adoption,4,2015
17528,1 year,A717159,Cat,*Bradley,domestic shorthair,black,white,2014-06-03 00:00:00,,Adoption,1,2016
17529,1 month,A712244,Cat,,domestic shorthair,black,white,2015-08-04 00:00:00,Partner,Transfer,9,2015
17530,3 years,A742315,Cat,Angel,domestic shorthair,Breed Specific,,2013-07-19 00:00:00,Partner,Transfer,1,2017
17531,1 month,A703815,Cat,,domestic shorthair,brown ,white,2015-04-14 00:00:00,Partner,Transfer,6,2015
17532,3 years,A755529,Cat,*Spirit,domestic shorthair,blue,,2014-08-04 00:00:00,Foster,Adoption,10,2017
17533,2 weeks,A701811,Cat,,domestic shorthair,gray,,2015-04-20 00:00:00,Partner,Transfer,5,2015
17534,2 weeks,A740610,Cat,,domestic shorthair,Breed Specific,white,2016-12-05 00:00:00,Partner,Transfer,12,2016
17535,2 months,A729250,Cat,*Trinity,domestic shorthair,orange ,white,2016-04-15 00:00:00,,Adoption,6,2016
17536,1 weeks,A747026,Cat,,domestic shorthair,blue,white,2017-04-02 00:00:00,Partner,Transfer,4,2017
17537,3 years,A732037,Cat,*Pete,domestic mediumhair,black,,2013-08-01 00:00:00,Foster,Adoption,2,2017
17538,2 weeks,A725881,Cat,,domestic shorthair,brown ,black,2016-04-18 00:00:00,Partner,Transfer,5,2016
17539,2 weeks,A755141,Cat,,domestic shorthair,black,,2017-07-14 00:00:00,Partner,Transfer,7,2017
17540,4 weeks,A729162,Cat,,domestic shorthair,Breed Specific,,2016-05-14 00:00:00,Partner,Transfer,6,2016
17541,2 months,A710071,Cat,*Herb,domestic shorthair,white,black,2015-06-17 00:00:00,Partner,Transfer,9,2015
17542,10 years,A706173,Cat,*Ford,domestic shorthair,black,,2005-06-29 00:00:00,Suffering,Euthanasia,6,2015
17543,1 month,A729677,Cat,,domestic mediumhair,Breed Specific,,2016-04-30 00:00:00,Suffering,Euthanasia,6,2016
17544,4 days,A727970,Cat,,domestic shorthair,black,white,2016-05-25 00:00:00,Partner,Transfer,5,2016
17545,1 year,A762564,Cat,,domestic shorthair,gray,,2016-11-21 00:00:00,,Adoption,11,2017
17546,2 months,A706452,Cat,Ava,domestic shorthair,brown,,2015-04-09 00:00:00,,Adoption,7,2015
17547,2 years,A750953,Cat,*Elsie,domestic shorthair,blue,,2015-06-02 00:00:00,Partner,Transfer,6,2017
17548,3 years,A749514,Cat,Indy,domestic shorthair,black,,2014-03-19 00:00:00,,Return to Owner,5,2017
17549,2 months,A714509,Cat,,snowshoe,lynx,,2015-08-24 00:00:00,,Adoption,10,2015
17550,3 months,A736678,Cat,Felicia,domestic shorthair,brown,,2016-07-15 00:00:00,Partner,Transfer,10,2016
17551,2 years,A760490,Cat,*Scooter,domestic shorthair,brown ,white,2015-10-19 00:00:00,,Adoption,10,2017
17552,2 months,A716684,Cat,Beethoven,siamese,seal ,white,2015-11-16 00:00:00,Foster,Adoption,1,2016
17553,5 years,A728732,Cat,,domestic shorthair,white,black,2011-06-07 00:00:00,Partner,Transfer,6,2016
17554,3 months,A757189,Cat,*Oats,domestic shorthair,brown,,2017-08-22 00:00:00,,Adoption,11,2017
